epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1653,0.93772,3.05029,1.28687,0.80891,0.23654,0.39469,0.26518,0.9624,3.08454,1.34868,0.000366027,0.000366027,0.000366027
2,64.9665,0.9326,1.93658,1.26391,0.82447,0.42383,0.45459,0.31801,0.93843,1.74389,1.42456,0.00072907,0.00072907,0.00072907
3,97.5131,0.9896,1.72747,1.30466,0.78203,0.40395,0.4541,0.26655,1.29238,1.94048,1.70381,0.00108478,0.00108478,0.00108478
4,127.384,0.96652,1.51856,1.29027,0.76681,0.48262,0.47551,0.33536,0.96699,1.55487,1.40158,0.001078,0.001078,0.001078
5,157.203,0.93807,1.34718,1.26802,0.82171,0.48528,0.51812,0.36762,0.94791,1.24185,1.39963,0.001067,0.001067,0.001067
6,186.922,0.90764,1.24751,1.24729,0.71995,0.51225,0.50347,0.34662,1.02864,1.4022,1.50242,0.00105601,0.00105601,0.00105601
7,216.491,0.89298,1.12694,1.24762,0.831,0.49094,0.54864,0.39949,0.94353,1.21346,1.39836,0.00104501,0.00104501,0.00104501
8,246.106,0.92112,1.08693,1.2684,0.67927,0.44761,0.51163,0.36154,1.00499,1.50694,1.40398,0.00103401,0.00103401,0.00103401
9,275.861,0.87259,0.99311,1.21353,0.84301,0.50725,0.58785,0.41814,0.84585,1.08211,1.30534,0.00102301,0.00102301,0.00102301
10,307.36,0.86101,0.97503,1.22748,0.78725,0.46065,0.51983,0.39918,0.87278,1.21318,1.3214,0.00101201,0.00101201,0.00101201
11,338.199,0.87978,0.99194,1.23901,0.71088,0.55577,0.56974,0.43779,0.83035,1.10319,1.29615,0.00100101,0.00100101,0.00100101
12,368.057,0.81461,0.91877,1.18779,0.73746,0.54971,0.56148,0.41903,0.88279,1.04944,1.30192,0.000990012,0.000990012,0.000990012
13,398.153,0.82827,0.87566,1.19783,0.77035,0.57907,0.59749,0.45513,0.80757,0.92309,1.26589,0.000979013,0.000979013,0.000979013
14,432.377,0.82963,0.88611,1.19185,0.80622,0.6136,0.6347,0.47793,0.86385,0.87921,1.27979,0.000968014,0.000968014,0.000968014
15,462.342,0.81816,0.86898,1.18749,0.83941,0.60256,0.63694,0.49338,0.76797,0.85885,1.26517,0.000957015,0.000957015,0.000957015
16,491.563,0.84214,0.82336,1.21346,0.84552,0.57786,0.61351,0.47908,0.82462,0.94661,1.30231,0.000946016,0.000946016,0.000946016
17,523.16,0.79223,0.83598,1.18069,0.85065,0.58997,0.63624,0.48731,0.80188,0.81081,1.25848,0.000935018,0.000935018,0.000935018
