epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8015,0.89635,3.01782,1.27523,0.84278,0.16591,0.40373,0.28751,0.89652,3.17662,1.36967,0.000366027,0.000366027,0.000366027
2,64.9324,0.91036,1.93206,1.26392,0.60885,0.37376,0.3342,0.21256,1.04976,2.26251,1.45674,0.0007315,0.0007315,0.0007315
3,95.5734,0.95827,1.75051,1.29287,0.69144,0.36433,0.34986,0.21405,1.18282,2.00368,1.67482,0.00109209,0.00109209,0.00109209
4,124.865,0.95564,1.54395,1.26722,0.66527,0.41183,0.4165,0.26523,1.08479,2.17659,1.53166,0.001089,0.001089,0.001089
5,154.054,0.9844,1.38101,1.28649,0.81405,0.49048,0.55625,0.38044,1.0092,1.31983,1.41097,0.00108167,0.00108167,0.00108167
6,182.906,0.93205,1.23356,1.25509,0.72399,0.52296,0.53726,0.39007,0.91621,1.22322,1.33435,0.00107434,0.00107434,0.00107434
7,211.909,0.92552,1.15979,1.23889,0.78942,0.5148,0.55731,0.40966,0.93124,1.17772,1.3107,0.001067,0.001067,0.001067
8,241.352,0.86887,1.05495,1.21255,0.75577,0.51788,0.57606,0.41499,0.90328,1.20891,1.3072,0.00105967,0.00105967,0.00105967
9,270.664,0.84985,1.00397,1.21038,0.74906,0.54702,0.57098,0.42609,0.89881,1.12518,1.31275,0.00105234,0.00105234,0.00105234
10,299.708,0.88933,1.02632,1.23472,0.80053,0.58472,0.60385,0.44967,0.8797,0.93072,1.28122,0.00104501,0.00104501,0.00104501
11,328.902,0.86529,0.98969,1.19499,0.61251,0.47269,0.49386,0.37031,0.85414,1.58804,1.31018,0.00103767,0.00103767,0.00103767
12,358.398,0.851,0.92892,1.19926,0.62064,0.60181,0.55686,0.41807,0.85742,1.21666,1.30321,0.00103034,0.00103034,0.00103034
13,387.634,0.85698,0.90306,1.21382,0.76594,0.54836,0.57606,0.43804,0.8567,1.07918,1.30489,0.00102301,0.00102301,0.00102301
14,417.155,0.81949,0.87735,1.18983,0.81222,0.56878,0.61326,0.47099,0.80275,1.01529,1.27244,0.00101568,0.00101568,0.00101568
15,446.699,0.78993,0.83744,1.17379,0.77085,0.55346,0.58671,0.44038,0.7984,0.94813,1.24532,0.00100834,0.00100834,0.00100834
16,476.045,0.78361,0.82906,1.16568,0.81595,0.6196,0.62385,0.47794,0.80817,0.85826,1.2608,0.00100101,0.00100101,0.00100101
17,505.664,0.81542,0.83204,1.20276,0.82923,0.58149,0.62542,0.48196,0.78935,0.86185,1.21121,0.000993678,0.000993678,0.000993678
18,535.645,0.80528,0.80043,1.16592,0.82433,0.58032,0.61355,0.47174,0.83067,0.93351,1.29447,0.000986346,0.000986346,0.000986346
19,565.432,0.77115,0.78541,1.14937,0.81791,0.61826,0.62816,0.4865,0.7858,0.83625,1.21454,0.000979013,0.000979013,0.000979013
20,595.398,0.77603,0.80337,1.16282,0.84902,0.59926,0.63607,0.48857,0.76894,0.80521,1.23604,0.000971681,0.000971681,0.000971681
21,624.745,0.78997,0.79749,1.16786,0.79058,0.63557,0.63905,0.49155,0.77137,0.84062,1.22221,0.000964348,0.000964348,0.000964348
22,654.103,0.75914,0.75787,1.15657,0.82797,0.60353,0.63447,0.4849,0.78748,0.84336,1.23554,0.000957015,0.000957015,0.000957015
23,683.538,0.78706,0.74561,1.16939,0.81569,0.58597,0.63792,0.48786,0.79761,0.86701,1.22681,0.000949683,0.000949683,0.000949683
24,713.453,0.77469,0.73475,1.15633,0.80322,0.57241,0.59877,0.45648,0.76658,0.91978,1.22452,0.00094235,0.00094235,0.00094235
25,743.309,0.77207,0.72744,1.16442,0.84111,0.6075,0.64841,0.51252,0.7437,0.79443,1.19285,0.000935018,0.000935018,0.000935018
26,772.91,0.74346,0.70101,1.13849,0.80567,0.61641,0.64377,0.49085,0.82088,0.85426,1.2471,0.000927685,0.000927685,0.000927685
27,802.456,0.77306,0.72693,1.14791,0.7896,0.64325,0.64216,0.49762,0.78129,0.78351,1.20973,0.000920352,0.000920352,0.000920352
28,831.928,0.75118,0.70574,1.138,0.75283,0.57807,0.60194,0.45492,0.80428,0.90636,1.23691,0.00091302,0.00091302,0.00091302
29,861.44,0.73064,0.68593,1.13656,0.8472,0.6072,0.62934,0.48247,0.80599,0.81113,1.23739,0.000905687,0.000905687,0.000905687
30,891.14,0.71522,0.67495,1.12763,0.79061,0.58665,0.61988,0.47543,0.79956,0.92677,1.27588,0.000898355,0.000898355,0.000898355
31,921.386,0.71698,0.68293,1.13063,0.81041,0.63334,0.65162,0.50932,0.74851,0.73469,1.19729,0.000891022,0.000891022,0.000891022
32,950.765,0.75391,0.69908,1.153,0.82957,0.61454,0.6353,0.5013,0.76964,0.80315,1.23406,0.000883689,0.000883689,0.000883689
33,981.031,0.71789,0.68916,1.12972,0.8714,0.62464,0.67502,0.52324,0.7786,0.74113,1.21287,0.000876357,0.000876357,0.000876357
34,1009.81,0.71453,0.6639,1.11657,0.85394,0.59726,0.63972,0.49317,0.78152,0.78027,1.2269,0.000869024,0.000869024,0.000869024
35,1038.26,0.72947,0.65848,1.11801,0.82638,0.5892,0.62167,0.48307,0.7667,0.83021,1.24476,0.000861692,0.000861692,0.000861692
36,1066.66,0.71343,0.64602,1.11925,0.85163,0.60699,0.63814,0.49943,0.73044,0.78524,1.20453,0.000854359,0.000854359,0.000854359
37,1095.33,0.71467,0.64759,1.11698,0.84456,0.62807,0.65064,0.50688,0.72943,0.74029,1.20136,0.000847026,0.000847026,0.000847026
38,1123.58,0.67886,0.61654,1.111,0.8534,0.58914,0.64211,0.50102,0.76163,0.80506,1.2142,0.000839694,0.000839694,0.000839694
39,1151.72,0.69126,0.6355,1.11407,0.83788,0.62441,0.63914,0.5027,0.76968,0.77378,1.21322,0.000832361,0.000832361,0.000832361
40,1179.91,0.69659,0.61641,1.1164,0.84285,0.59563,0.64458,0.49561,0.7785,0.79456,1.22345,0.000825029,0.000825029,0.000825029
41,1208.04,0.68273,0.62341,1.10624,0.84618,0.62411,0.65236,0.51538,0.73798,0.75184,1.20648,0.000817696,0.000817696,0.000817696
42,1236.31,0.67069,0.60191,1.10744,0.8703,0.59194,0.64454,0.49642,0.7701,0.76022,1.2102,0.000810363,0.000810363,0.000810363
43,1264.67,0.68359,0.60053,1.10715,0.85268,0.64964,0.66781,0.51051,0.78825,0.7544,1.21968,0.000803031,0.000803031,0.000803031
44,1293.35,0.68745,0.60984,1.11788,0.85577,0.62444,0.6616,0.53286,0.69558,0.70614,1.15862,0.000795698,0.000795698,0.000795698
45,1321.82,0.68133,0.63831,1.11137,0.90612,0.61158,0.67238,0.53493,0.74636,0.68941,1.19802,0.000788366,0.000788366,0.000788366
46,1350.69,0.67363,0.60185,1.10361,0.88887,0.61314,0.66209,0.5248,0.73648,0.76351,1.1845,0.000781033,0.000781033,0.000781033
47,1380.27,0.66915,0.59013,1.11275,0.8639,0.6139,0.65768,0.51289,0.7534,0.6876,1.20381,0.0007737,0.0007737,0.0007737
48,1409.71,0.67975,0.60129,1.1093,0.86466,0.61035,0.66859,0.52098,0.76173,0.73688,1.18359,0.000766368,0.000766368,0.000766368
49,1439.02,0.65543,0.57446,1.09518,0.84635,0.61333,0.64285,0.50924,0.74476,0.7262,1.22396,0.000759035,0.000759035,0.000759035
50,1467.91,0.64383,0.58132,1.088,0.87707,0.61982,0.6653,0.52265,0.74249,0.68098,1.18475,0.000751703,0.000751703,0.000751703
51,1496.7,0.64889,0.56221,1.0935,0.90113,0.61375,0.6728,0.5276,0.74458,0.71117,1.20036,0.00074437,0.00074437,0.00074437
52,1525.29,0.64733,0.56328,1.08823,0.85105,0.63583,0.65586,0.50571,0.77003,0.73879,1.211,0.000737037,0.000737037,0.000737037
53,1553.87,0.63505,0.57064,1.07019,0.65384,0.61615,0.66172,0.51375,0.74843,0.72709,1.19107,0.000729705,0.000729705,0.000729705
54,1582.48,0.6515,0.55524,1.08018,0.84088,0.63995,0.66098,0.52137,0.72197,0.69337,1.21317,0.000722372,0.000722372,0.000722372
55,1611.14,0.60747,0.53314,1.06859,0.66481,0.63928,0.66444,0.52153,0.71378,0.72949,1.19618,0.00071504,0.00071504,0.00071504
56,1639.86,0.61816,0.54482,1.06977,0.82171,0.64464,0.65951,0.52597,0.70787,0.71912,1.17953,0.000707707,0.000707707,0.000707707
57,1668.62,0.62626,0.55283,1.07807,0.84611,0.65448,0.67063,0.52829,0.71859,0.6795,1.18124,0.000700374,0.000700374,0.000700374
58,1697.22,0.63089,0.54351,1.08145,0.89089,0.61064,0.6571,0.51435,0.75887,0.69925,1.20808,0.000693042,0.000693042,0.000693042
59,1725.64,0.63922,0.52972,1.08807,0.88668,0.61617,0.66033,0.52576,0.72149,0.67925,1.19875,0.000685709,0.000685709,0.000685709
60,1754.25,0.62573,0.52878,1.06946,0.88508,0.6468,0.66409,0.52685,0.73529,0.66828,1.19914,0.000678377,0.000678377,0.000678377
61,1783.32,0.61813,0.54062,1.05309,0.83844,0.65987,0.6549,0.51379,0.74649,0.71998,1.18688,0.000671044,0.000671044,0.000671044
62,1812.1,0.60768,0.52038,1.06923,0.89076,0.61643,0.66548,0.53331,0.71618,0.66179,1.19929,0.000663711,0.000663711,0.000663711
63,1840.87,0.61061,0.52473,1.06687,0.866,0.63056,0.66657,0.53185,0.69504,0.65974,1.18206,0.000656379,0.000656379,0.000656379
64,1869.52,0.59671,0.49681,1.05486,0.62609,0.64922,0.65493,0.51267,0.76018,0.6839,1.21874,0.000649046,0.000649046,0.000649046
65,1898.2,0.60214,0.50243,1.06161,0.84583,0.63049,0.6524,0.51803,0.74356,0.69463,1.19946,0.000641714,0.000641714,0.000641714
66,1926.9,0.60159,0.52233,1.0633,0.63937,0.62963,0.66248,0.5276,0.70629,0.68875,1.18731,0.000634381,0.000634381,0.000634381
67,1955.31,0.60121,0.51699,1.06336,0.8805,0.63209,0.66895,0.5389,0.69844,0.66172,1.16339,0.000627048,0.000627048,0.000627048
68,1983.76,0.6055,0.50777,1.06861,0.8427,0.64739,0.66591,0.52918,0.73016,0.67852,1.19353,0.000619716,0.000619716,0.000619716
69,2012.44,0.58757,0.49127,1.06437,0.85323,0.63529,0.65261,0.51379,0.76397,0.71025,1.20774,0.000612383,0.000612383,0.000612383
70,2041.28,0.58816,0.50451,1.04897,0.66364,0.6442,0.66111,0.53032,0.71444,0.70044,1.18953,0.000605051,0.000605051,0.000605051
71,2069.71,0.60143,0.489,1.07118,0.6321,0.63901,0.65808,0.52828,0.70958,0.74171,1.20658,0.000597718,0.000597718,0.000597718
72,2098.44,0.58989,0.4887,1.06638,0.6193,0.64985,0.65327,0.51596,0.75832,0.73273,1.22478,0.000590385,0.000590385,0.000590385
73,2127.77,0.60937,0.49893,1.06954,0.84861,0.61219,0.65892,0.5277,0.71374,0.70951,1.16743,0.000583053,0.000583053,0.000583053
74,2156.67,0.59367,0.49368,1.05558,0.66185,0.63154,0.65685,0.5264,0.71917,0.69675,1.20212,0.00057572,0.00057572,0.00057572
75,2185.52,0.57344,0.46787,1.04776,0.86678,0.64554,0.671,0.52919,0.73617,0.67813,1.21473,0.000568388,0.000568388,0.000568388
76,2214.56,0.57819,0.47097,1.03893,0.89667,0.60422,0.6554,0.52631,0.75974,0.72753,1.22161,0.000561055,0.000561055,0.000561055
77,2243.68,0.5814,0.48087,1.04294,0.79432,0.65792,0.65465,0.52214,0.72441,0.71506,1.20428,0.000553722,0.000553722,0.000553722
78,2272.51,0.53901,0.45678,1.02091,0.90389,0.6157,0.66974,0.53673,0.73133,0.67808,1.20852,0.00054639,0.00054639,0.00054639
79,2301.79,0.57816,0.46032,1.05539,0.84268,0.64132,0.65705,0.52729,0.72251,0.6893,1.19269,0.000539057,0.000539057,0.000539057
80,2331.21,0.553,0.45298,1.03215,0.85807,0.6496,0.66541,0.52696,0.76615,0.66688,1.21458,0.000531725,0.000531725,0.000531725
81,2360.11,0.58079,0.47724,1.05796,0.86564,0.64665,0.67016,0.53077,0.72889,0.68174,1.2022,0.000524392,0.000524392,0.000524392
82,2389.01,0.56722,0.46494,1.04429,0.88159,0.60939,0.6495,0.52682,0.71921,0.69597,1.19851,0.000517059,0.000517059,0.000517059
83,2418.55,0.53769,0.44785,1.03935,0.85478,0.64518,0.67216,0.53992,0.72567,0.67617,1.21125,0.000509727,0.000509727,0.000509727
84,2447.75,0.56725,0.47156,1.03655,0.67922,0.64778,0.65982,0.52563,0.75591,0.6546,1.22771,0.000502394,0.000502394,0.000502394
85,2477.51,0.56028,0.45488,1.03322,0.66069,0.6675,0.67649,0.54099,0.72886,0.64425,1.18996,0.000495062,0.000495062,0.000495062
86,2507.4,0.56004,0.46874,1.04291,0.89481,0.62856,0.67198,0.53804,0.71835,0.63502,1.20447,0.000487729,0.000487729,0.000487729
87,2536.72,0.57018,0.46475,1.04503,0.64602,0.65827,0.65965,0.53733,0.71183,0.72657,1.19163,0.000480396,0.000480396,0.000480396
88,2565.6,0.56331,0.45999,1.05021,0.87799,0.63642,0.66766,0.53406,0.71862,0.66494,1.19742,0.000473064,0.000473064,0.000473064
89,2594.31,0.55781,0.4574,1.03095,0.8863,0.62249,0.66545,0.52849,0.71899,0.68178,1.20093,0.000465731,0.000465731,0.000465731
90,2623.08,0.5482,0.44242,1.03573,0.89247,0.6335,0.6737,0.53696,0.7174,0.64595,1.19975,0.000458399,0.000458399,0.000458399
91,2652.14,0.54909,0.44686,1.04058,0.6606,0.64232,0.65866,0.52648,0.69305,0.68951,1.18684,0.000451066,0.000451066,0.000451066
92,2681.07,0.53776,0.42292,1.03023,0.87053,0.62992,0.65612,0.52688,0.69943,0.69759,1.18953,0.000443733,0.000443733,0.000443733
93,2709.91,0.53853,0.43161,1.01759,0.67133,0.63296,0.6468,0.51756,0.71246,0.69682,1.19924,0.000436401,0.000436401,0.000436401
94,2738.94,0.53566,0.43087,1.02556,0.66857,0.66367,0.67473,0.54058,0.7017,0.65777,1.19349,0.000429068,0.000429068,0.000429068
95,2768.04,0.53076,0.42643,1.02766,0.87078,0.63022,0.65583,0.52776,0.72158,0.65995,1.20521,0.000421736,0.000421736,0.000421736
96,2796.9,0.53589,0.41733,1.02267,0.65793,0.65211,0.65703,0.53075,0.7139,0.70191,1.19763,0.000414403,0.000414403,0.000414403
97,2825.65,0.54115,0.42171,1.02672,0.68457,0.61994,0.65193,0.52181,0.75327,0.7026,1.24183,0.00040707,0.00040707,0.00040707
98,2854.28,0.52923,0.42238,1.02668,0.64286,0.65332,0.66201,0.54075,0.72532,0.69366,1.21678,0.000399738,0.000399738,0.000399738
99,2882.92,0.52592,0.41243,1.0221,0.88925,0.6437,0.66001,0.53421,0.74049,0.67961,1.22926,0.000392405,0.000392405,0.000392405
100,2911.81,0.53841,0.43058,1.03317,0.68741,0.63763,0.65727,0.52711,0.75246,0.6832,1.24559,0.000385073,0.000385073,0.000385073
101,2940.81,0.51655,0.4084,1.02081,0.687,0.64716,0.66762,0.53913,0.72447,0.68394,1.22959,0.00037774,0.00037774,0.00037774
102,2969.69,0.52082,0.41056,1.01873,0.69162,0.62565,0.66687,0.53206,0.71158,0.66499,1.21117,0.000370407,0.000370407,0.000370407
103,2998.63,0.51688,0.40231,1.01231,0.8868,0.61172,0.65623,0.5311,0.73042,0.71147,1.238,0.000363075,0.000363075,0.000363075
104,3027.54,0.51121,0.39713,1.02118,0.67831,0.63074,0.65622,0.53228,0.70701,0.69632,1.22112,0.000355742,0.000355742,0.000355742
105,3056.69,0.51582,0.39761,1.01146,0.63592,0.64075,0.65573,0.52002,0.74312,0.70291,1.24428,0.00034841,0.00034841,0.00034841
106,3085.26,0.52332,0.41577,1.02361,0.66142,0.66017,0.67218,0.54412,0.71443,0.67809,1.24115,0.000341077,0.000341077,0.000341077
107,3114.75,0.5076,0.39495,1.01053,0.89123,0.64094,0.67308,0.53455,0.72164,0.66801,1.20963,0.000333744,0.000333744,0.000333744
108,3143.73,0.53198,0.40246,1.02376,0.89559,0.62523,0.67609,0.53721,0.7413,0.68694,1.23953,0.000326412,0.000326412,0.000326412
109,3172.81,0.49228,0.37788,1.00968,0.8976,0.62205,0.66308,0.53736,0.72509,0.66483,1.23291,0.000319079,0.000319079,0.000319079
110,3201.42,0.49818,0.38356,0.99944,0.67203,0.63954,0.66374,0.5362,0.7178,0.67649,1.22954,0.000311747,0.000311747,0.000311747
111,3230.66,0.51154,0.39553,1.02851,0.69638,0.64416,0.67019,0.54612,0.72004,0.64226,1.23074,0.000304414,0.000304414,0.000304414
112,3259.31,0.50323,0.39138,1.01525,0.87175,0.62238,0.65801,0.53658,0.70326,0.67059,1.22599,0.000297081,0.000297081,0.000297081
113,3288.43,0.48559,0.38334,1.00474,0.67594,0.635,0.66314,0.53532,0.71045,0.67897,1.23061,0.000289749,0.000289749,0.000289749
114,3317.18,0.49083,0.38403,1.00723,0.6591,0.6279,0.65166,0.53328,0.70816,0.67291,1.23045,0.000282416,0.000282416,0.000282416
115,3345.65,0.49481,0.38971,1.0022,0.70081,0.64318,0.67078,0.53099,0.71067,0.65527,1.22147,0.000275084,0.000275084,0.000275084
116,3374.42,0.49746,0.38655,1.00296,0.88853,0.64919,0.6719,0.54286,0.69577,0.64682,1.21306,0.000267751,0.000267751,0.000267751
117,3404.05,0.4897,0.37521,0.99963,0.88601,0.6504,0.66537,0.5334,0.70241,0.675,1.22725,0.000260418,0.000260418,0.000260418
118,3433.43,0.50087,0.38795,1.02075,0.88436,0.63063,0.65812,0.53356,0.6974,0.67249,1.2063,0.000253086,0.000253086,0.000253086
119,3462.4,0.4672,0.36476,0.99411,0.89807,0.622,0.66441,0.5426,0.68932,0.6409,1.21792,0.000245753,0.000245753,0.000245753
120,3491.79,0.49,0.38212,1.00639,0.69895,0.61211,0.65137,0.53525,0.71004,0.65725,1.22652,0.000238421,0.000238421,0.000238421
121,3520.97,0.46175,0.35719,0.97832,0.6768,0.64033,0.66933,0.53609,0.70197,0.66767,1.2193,0.000231088,0.000231088,0.000231088
122,3549.79,0.47202,0.37068,0.99092,0.69321,0.64795,0.67077,0.54041,0.69478,0.66032,1.21015,0.000223755,0.000223755,0.000223755
123,3578.45,0.48378,0.37804,1.00133,0.63371,0.66677,0.66172,0.53518,0.70753,0.63217,1.22754,0.000216423,0.000216423,0.000216423
124,3607.47,0.47215,0.36379,0.99957,0.85952,0.63515,0.65828,0.53683,0.69974,0.65633,1.21571,0.00020909,0.00020909,0.00020909
125,3636.5,0.47691,0.36214,0.99755,0.86978,0.6417,0.66218,0.53784,0.71009,0.65636,1.22285,0.000201758,0.000201758,0.000201758
126,3665.53,0.47315,0.35899,0.98805,0.71129,0.61818,0.66505,0.53825,0.70895,0.64403,1.22058,0.000194425,0.000194425,0.000194425
127,3694.4,0.46682,0.35906,0.9864,0.68668,0.65401,0.67079,0.54372,0.71715,0.67292,1.24094,0.000187092,0.000187092,0.000187092
128,3724,0.4676,0.3585,0.99406,0.69726,0.63259,0.66754,0.54641,0.70047,0.66774,1.22035,0.00017976,0.00017976,0.00017976
129,3753.85,0.45737,0.35646,0.98957,0.70584,0.63685,0.66795,0.5374,0.72354,0.66813,1.23287,0.000172427,0.000172427,0.000172427
